"Ref","ID_photo","Reader","Round","PopInd","Pop","TempExp","TempExpNum","Tpop","Predpop","Survival","Naivety","Remarks","Length","EvolHistory"
"T05_A1_Az2_A4","IMG_0351",715,1,"A1_Az2","A1","T05",5,"Ambiant","Ctrl","Yes","Naive","None",0.126,"Ctrl_Ambiant"
"T05_A1_Az3_B3","IMG_0415",727,1,"A1_Az3","A1","T05",5,"Ambiant","Ctrl","Yes","Naive","None",0.097,"Ctrl_Ambiant"
"T05_B1_Az2_A2","IMG_0367",715,1,"B1_Az2","B1","T05",5,"Warm","Ctrl","Yes","Naive","None",0.125,"Ctrl_Warm"
"T05_B1_Az1_D3","IMG_0419",727,1,"B1_Az1","B1","T05",5,"Warm","Ctrl","Yes","Naive","None",0.122,"Ctrl_Warm"
"T05_B1_Az9_B6","IMG_0389",727,1,"B1_Az9","B1","T05",5,"Warm","Ctrl","Yes","Naive","None",0.122,"Ctrl_Warm"
"T05_B2_Az10_D4","IMG_0360",715,1,"B2_Az10","B2","T05",5,"Ambiant","Ctrl","Yes","Naive","None",0.138,"Ctrl_Ambiant"
"T05_B2_Az1_B4","IMG_0405",727,1,"B2_Az1","B2","T05",5,"Ambiant","Ctrl","Yes","Naive","None",0.128,"Ctrl_Ambiant"
"T05_B4_Az8_C5","IMG_0346",715,1,"B4_Az8","B4","T05",5,"Ambiant","Pred","Yes","Naive","None",0.109,"Pred_Ambiant"
"T05_B4_Az4_C2","IMG_0420",727,1,"B4_Az4","B4","T05",5,"Ambiant","Pred","Yes","Naive","None",0.114,"Pred_Ambiant"
"T05_B5_Az4_B4","IMG_0354",715,1,"B5_Az4","B5","T05",5,"Warm","Pred","Yes","Naive","None",0.116,"Pred_Warm"
"T05_B5_Az3_C4","IMG_0408",727,1,"B5_Az3","B5","T05",5,"Warm","Pred","Yes","Naive","None",0.1,"Pred_Warm"
"T05_B6_Az3_A4","IMG_0402",727,1,"B6_Az3","B6","T05",5,"Ambiant","Pred","Yes","Naive","None",0.108,"Pred_Ambiant"
"T05_B6_Az1_D6","IMG_0391",727,1,"B6_Az1","B6","T05",5,"Ambiant","Pred","Yes","Naive","None",0.12,"Pred_Ambiant"
"T05_B7_Az7_D3","IMG_0365",715,1,"B7_Az7","B7","T05",5,"Warm","Pred","Yes","Naive","None",0.125,"Pred_Warm"
"T05_B7_Az2_D2","IMG_0423",727,1,"B7_Az2","B7","T05",5,"Warm","Pred","Yes","Naive","None",0.114,"Pred_Warm"
"T05_B9_Az6_B1","IMG_0377",715,1,"B9_Az6","B9","T05",5,"Warm","Pred","Yes","Naive","None",0.126,"Pred_Warm"
"T05_B9_Az5_A5","IMG_0394",727,1,"B9_Az5","B9","T05",5,"Warm","Pred","Yes","Naive","None",0.101,"Pred_Warm"
"T05_C1_Az8_C3","IMG_0364",715,1,"C1_Az8","C1","T05",5,"Ambiant","Pred","Yes","Naive","None",0.135,"Pred_Ambiant"
"T05_C1_Az10_C5","IMG_0399",727,1,"C1_Az10","C1","T05",5,"Ambiant","Pred","Yes","Naive","None",0.135,"Pred_Ambiant"
"T05_C3_Az2_C4","IMG_0357",715,1,"C3_Az2","C3","T05",5,"Ambiant","Pred","Yes","Naive","None",0.115,"Pred_Ambiant"
"T05_C3_Az3_D4","IMG_0411",727,1,"C3_Az3","C3","T05",5,"Ambiant","Pred","Yes","Naive","None",0.1,"Pred_Ambiant"
"T05_C5_Az9_A1","IMG_0376",715,1,"C5_Az9","C5","T05",5,"Ambiant","Ctrl","Yes","Naive","None",0.14,"Ctrl_Ambiant"
"T05_C5_Az10_B5","IMG_0397",727,1,"C5_Az10","C5","T05",5,"Ambiant","Ctrl","Yes","Naive","None",0.115,"Ctrl_Ambiant"
"T05_C8_Az2_C2","IMG_0371",715,1,"C8_Az2","C8","T05",5,"Warm","Pred","Yes","Naive","None",0.106,"Pred_Warm"
"T05_C8_Az3_D5","IMG_0349",715,1,"C8_Az3","C8","T05",5,"Warm","Pred","Yes","Naive","None",0.087,"Pred_Warm"
"T05_C8_Az4_D1","IMG_0428",727,1,"C8_Az4","C8","T05",5,"Warm","Pred","Yes","Naive","None",0.089,"Pred_Warm"
"T05_C9_Az8_D1","IMG_0384",715,1,"C9_Az8","C9","T05",5,"Ambiant","Pred","Yes","Naive","None",0.107,"Pred_Ambiant"
"T05_C9_Az5_A6","IMG_0343",715,1,"C9_Az5","C9","T05",5,"Ambiant","Pred","Yes","Naive","None",0.109,"Pred_Ambiant"
"T05_C9_Az9_A3","IMG_0413",727,1,"C9_Az9","C9","T05",5,"Ambiant","Pred","Yes","Naive","None",0.098,"Pred_Ambiant"
"T05_C9_Az6_A6","IMG_0387",727,1,"C9_Az6","C9","T05",5,"Ambiant","Pred","Yes","Naive","None",0.093,"Pred_Ambiant"
"T05_D6_Az7_C1","IMG_0381",715,1,"D6_Az7","D6","T05",5,"Ambiant","Ctrl","Yes","Naive","None",0.136,"Ctrl_Ambiant"
"T05_D6_Az4_B3","IMG_0361",715,1,"D6_Az4","D6","T05",5,"Ambiant","Ctrl","Yes","Naive","None",0.124,"Ctrl_Ambiant"
"T05_D6_Az2_C1","IMG_0425",727,1,"D6_Az2","D6","T05",5,"Ambiant","Ctrl","Yes","Naive","None",0.102,"Ctrl_Ambiant"
"T05_D6_Az3_D5","IMG_0400",727,1,"D6_Az3","D6","T05",5,"Ambiant","Ctrl","Yes","Naive","None",0.115,"Ctrl_Ambiant"
"T05_D7_Az8_D2","IMG_0373",715,1,"D7_Az8","D7","T05",5,"Warm","Ctrl","Yes","Naive","None",0.145,"Ctrl_Warm"
"T05_D7_Az9_B5","IMG_0344",715,1,"D7_Az9","D7","T05",5,"Warm","Ctrl","Yes","Naive","None",0.121,"Ctrl_Warm"
"T10_A1_Az11_A3","IMG_0222",715,1,"A1_Az11","A1","T10",10,"Ambiant","Ctrl","Yes","None","None",0.09,"Ctrl_Ambiant"
"T10_A1_Az16_C5","IMG_0211",715,1,"A1_Az16","A1","T10",10,"Ambiant","Ctrl","Yes","None","None",0.117,"Ctrl_Ambiant"
"T10_A1_Az1_B1","IMG_0306",727,1,"A1_Az1","A1","T10",10,"Ambiant","Ctrl","Yes","None","None",0.091,"Ctrl_Ambiant"
"T10_B1_Az3_C2","IMG_0298",727,1,"B1_Az3","B1","T10",10,"Warm","Ctrl","Yes","None","None",0.136,"Ctrl_Warm"
