Pop,Tpop,Predpop,Richness,Census,Year,Date,Present_Study
A1,Ambiant,Ctrl,Ctrl,50,2019,May-19,yes
A2,Warm,Pred,High,50,2019,May-19,no
A3,Ambiant,Pred,High,50,2019,May-19,no
A4,Warm,Ctrl,Ctrl,50,2019,May-19,no
A5,Ambiant,Ctrl,Ctrl,50,2019,May-19,no
A6,Warm,Pred,Low,50,2019,May-19,no
A7,Ambiant,Pred,Low,50,2019,May-19,no
A8,Warm,Pred,High,50,2019,May-19,no
A9,Ambiant,Pred,High,50,2019,May-19,no
B1,Warm,Ctrl,Ctrl,50,2019,May-19,yes
B2,Ambiant,Ctrl,Ctrl,50,2019,May-19,yes
B3,Warm,Pred,High,50,2019,May-19,no
B4,Ambiant,Pred,High,50,2019,May-19,yes
B5,Warm,Pred,Low,50,2019,May-19,yes
B6,Ambiant,Pred,Low,50,2019,May-19,yes
B7,Warm,Pred,High,50,2019,May-19,yes
B8,Ambiant,Pred,High,50,2019,May-19,no
B9,Warm,Pred,Low,50,2019,May-19,yes
C1,Ambiant,Pred,Low,50,2019,May-19,yes
C2,Warm,Pred,Low,50,2019,May-19,no
C3,Ambiant,Pred,Low,50,2019,May-19,yes
C4,Warm,Ctrl,Ctrl,50,2019,May-19,no
C5,Ambiant,Ctrl,Ctrl,50,2019,May-19,yes
C6,Warm,Pred,High,50,2019,May-19,no
C7,Ambiant,Pred,High,50,2019,May-19,no
C8,Warm,Pred,Low,50,2019,May-19,yes
C9,Ambiant,Pred,Low,50,2019,May-19,yes
D4,Ambiant,Pred,Low,50,2019,May-19,no
D5,Warm,Pred,Low,50,2019,May-19,no
D6,Ambiant,Ctrl,Ctrl,50,2019,May-19,yes
D7,Warm,Ctrl,Ctrl,50,2019,May-19,yes
D8,Ambiant,Pred,High,50,2019,May-19,no
D9,Warm,Pred,High,50,2019,May-19,no
A1,Ambiant,Ctrl,Ctrl,277,2020,Oct-20,yes
A2,Warm,Pred,High,0,2020,Oct-20,no
A3,Ambiant,Pred,High,1,2020,Oct-20,no
A4,Warm,Ctrl,Ctrl,1,2020,Oct-20,no
A5,Ambiant,Ctrl,Ctrl,113,2020,Oct-20,no
A6,Warm,Pred,Low,0,2020,Oct-20,no
A7,Ambiant,Pred,Low,0,2020,Oct-20,no
A8,Warm,Pred,High,20,2020,Oct-20,no
A9,Ambiant,Pred,High,52,2020,Oct-20,no
B1,Warm,Ctrl,Ctrl,144,2020,Oct-20,yes
B2,Ambiant,Ctrl,Ctrl,156,2020,Oct-20,yes
B3,Warm,Pred,High,0,2020,Oct-20,no
B4,Ambiant,Pred,High,69,2020,Oct-20,yes
B5,Warm,Pred,Low,61,2020,Oct-20,yes
B6,Ambiant,Pred,Low,6,2020,Oct-20,yes
B7,Warm,Pred,High,28,2020,Oct-20,yes
B8,Ambiant,Pred,High,0,2020,Oct-20,no
B9,Warm,Pred,Low,32,2020,Oct-20,yes
C1,Ambiant,Pred,Low,37,2020,Oct-20,yes
C2,Warm,Pred,Low,27,2020,Oct-20,no
C3,Ambiant,Pred,Low,5,2020,Oct-20,yes
C4,Warm,Ctrl,Ctrl,132,2020,Oct-20,no
C5,Ambiant,Ctrl,Ctrl,357,2020,Oct-20,yes
C6,Warm,Pred,High,0,2020,Oct-20,no
C7,Ambiant,Pred,High,1,2020,Oct-20,no
C8,Warm,Pred,Low,33,2020,Oct-20,yes
C9,Ambiant,Pred,Low,15,2020,Oct-20,yes
D4,Ambiant,Pred,Low,33,2020,Oct-20,no
