"ID","Ref","ID_photo","SlopeEmma","Reader","Round","PopInd","Pop","TempExp","TempExpNum","Tpop","Predpop","Survival","Naivety","Slope","r2"
"T05_A1_Az1_B5","T05_A1_Az1_B5","IMG_0618",-0.038100965,715,3,"A1_Az1","A1","T05",5,"Ambiant","Ctrl","Yes","Naive",-0.0328978681632681,0.943500870633809
"T05_A1_Az10_C6","T05_A1_Az10_C6","IMG_0437",-0.013578453,715,2,"A1_Az10","A1","T05",5,"Ambiant","Ctrl","Yes","Naive",NA,NA
"T05_A1_Az2_A4","T05_A1_Az2_A4","IMG_0351",-0.019557593,715,1,"A1_Az2","A1","T05",5,"Ambiant","Ctrl","Yes","Naive",-0.00641852102476412,0.542158511549742
"T05_A1_Az3_B3","T05_A1_Az3_B3","IMG_0415",-0.009873163,727,1,"A1_Az3","A1","T05",5,"Ambiant","Ctrl","Yes","Naive",-0.00400395819693816,0.246754892292579
"T05_A1_Az4_C4","T05_A1_Az4_C4","IMG_0748",-0.013387065,727,4,"A1_Az4","A1","T05",5,"Ambiant","Ctrl","Yes","Naive",-0.00600667046169079,0.961743256171633
"T05_A1_Az5_A1","T05_A1_Az5_A1","IMG_0729",-0.014915656,715,4,"A1_Az5","A1","T05",5,"Ambiant","Ctrl","Yes","Naive",-0.0030094248911242,0.444914325834207
"T05_A1_Az6_D4","T05_A1_Az6_D4","IMG_0718",-0.017146807,715,4,"A1_Az6","A1","T05",5,"Ambiant","Ctrl","Yes","Naive",-0.0115931226671397,0.902269116757885
"T05_A1_Az7_B1","T05_A1_Az7_B1","IMG_0554",-0.015302222,727,2,"A1_Az7","A1","T05",5,"Ambiant","Ctrl","Yes","Naive",-0.00612946883820304,0.843669617454655
"T05_A1_Az8_B2","T05_A1_Az8_B2","IMG_0685",-0.014311941,727,3,"A1_Az8","A1","T05",5,"Ambiant","Ctrl","Yes","Naive",-0.0116585222884315,0.888781624984406
"T05_A1_Az9_C2","T05_A1_Az9_C2","IMG_0548",-0.013261368,727,2,"A1_Az9","A1","T05",5,"Ambiant","Ctrl","Yes","Naive",-0.00451978292154369,0.510817930722645
"T05_B1_Az1_D3","T05_B1_Az1_D3","IMG_0419",-0.011114421,727,1,"B1_Az1","B1","T05",5,"Warm","Ctrl","Yes","Naive",-0.0085433925605436,0.857415898575209
"T05_B1_Az10_A6","T05_B1_Az10_A6","IMG_0735",-0.014886284,727,4,"B1_Az10","B1","T05",5,"Warm","Ctrl","Yes","Naive",-0.0112903910598598,0.962341082893632
"T05_B1_Az2_A2","T05_B1_Az2_A2","IMG_0367",-0.015214819,715,1,"B1_Az2","B1","T05",5,"Warm","Ctrl","Yes","Naive",-0.0119635619630493,0.855181184327567
"T05_B1_Az3_A3","T05_B1_Az3_A3","IMG_0674",-0.018195748,727,3,"B1_Az3","B1","T05",5,"Warm","Ctrl","Yes","Naive",-0.00393123625091103,0.222169093634902
"T05_B1_Az4_C6","T05_B1_Az4_C6","IMG_0493",-0.007814382,727,2,"B1_Az4","B1","T05",10,"Warm","Ctrl","Yes","Naive",NA,NA
"T05_B1_Az5_B3","T05_B1_Az5_B3","IMG_0464",-0.013711497,715,2,"B1_Az5","B1","T05",10,"Warm","Ctrl","Yes","Naive",-0.0110721224218643,0.898895901447863
"T05_B1_Az6_D2","T05_B1_Az6_D2","IMG_0647",-0.021405898,715,3,"B1_Az6","B1","T05",5,"Warm","Ctrl","Yes","Naive",-0.00521993562792118,0.392289375917973
"T05_B1_Az7_C5","T05_B1_Az7_C5","IMG_0713",-0.013260467,715,4,"B1_Az7","B1","T05",5,"Warm","Ctrl","Yes","Naive",-0.00583209283473946,0.866852001977637
"T05_B1_Az8_C5","T05_B1_Az8_C5","IMG_0743",-0.0135933,727,4,"B1_Az8","B1","T05",5,"Warm","Ctrl","Yes","Naive",-0.00869320851290529,0.870301091734073
"T05_B1_Az9_B6","T05_B1_Az9_B6","IMG_0389",-0.007960728,727,1,"B1_Az9","B1","T05",5,"Warm","Ctrl","Yes","Naive",-0.00673288054153782,0.5376523783983
"T05_B2_Az1_B4","T05_B2_Az1_B4","IMG_0405",-0.009025397,727,1,"B2_Az1","B2","T05",5,"Ambiant","Ctrl","Yes","Naive",-0.00528225687264366,0.875430993002118
