"N_bac","Day","Temperature_moy","Tpop"
"A1",2019-02-04,3.43579861111111,"Ambient"
"A1",2019-02-05,4.40177083333333,"Ambient"
"A1",2019-02-06,6.26427083333333,"Ambient"
"A1",2019-02-07,6.77524305555556,"Ambient"
"A1",2019-02-08,5.84371527777778,"Ambient"
"A1",2019-02-09,6.23555555555556,"Ambient"
"A1",2019-02-10,6.31520833333333,"Ambient"
"A1",2019-02-11,5.78667896678967,"Ambient"
"A1",2019-02-12,4.95756944444444,"Ambient"
"A1",2019-02-13,4.48267361111111,"Ambient"
"A1",2019-02-14,4.64409722222222,"Ambient"
"A1",2019-02-15,5.40885416666667,"Ambient"
"A1",2019-02-16,6.14503472222222,"Ambient"
"A1",2019-02-17,6.39847222222222,"Ambient"
"A1",2019-02-18,6.99569444444444,"Ambient"
"A1",2019-02-19,6.46899305555556,"Ambient"
"A1",2019-02-20,6.08697916666667,"Ambient"
"A1",2019-02-21,6.63944444444444,"Ambient"
"A1",2019-02-22,7.36100694444444,"Ambient"
"A1",2019-02-23,8.05118055555556,"Ambient"
"A1",2019-02-24,8.43631944444444,"Ambient"
"A1",2019-02-25,8.57576388888889,"Ambient"
"A1",2019-02-26,9.08826388888889,"Ambient"
"A1",2019-02-27,9.48715277777778,"Ambient"
"A1",2019-02-28,9.69222222222222,"Ambient"
"A1",2019-03-01,10.2601388888889,"Ambient"
"A1",2019-03-02,10.2982986111111,"Ambient"
"A1",2019-03-03,8.59513888888889,"Ambient"
"A1",2019-03-04,9.27225694444444,"Ambient"
"A1",2019-03-05,8.53440972222222,"Ambient"
"A1",2019-03-06,9.51583333333333,"Ambient"
"A1",2019-03-07,8.97559027777778,"Ambient"
"A1",2019-03-08,7.66621530233169,"Ambient"
"A1",2019-03-09,11.6516666527778,"Ambient"
"A1",2019-03-10,11.2987847604167,"Ambient"
"A1",2019-03-11,10.0109375244049,"Ambient"
"A1",2019-03-12,11.6449999752718,"Ambient"
"A1",2019-03-13,6.70729166319444,"Ambient"
"A1",2019-03-14,10.6175694513889,"Ambient"
"A1",2019-03-15,12.2229166631944,"Ambient"
"A1",2019-03-16,12.9401859107807,"Ambient"
"A1",2019-03-17,7.55524306221026,"Ambient"
"A1",2019-03-18,9.37430555208333,"Ambient"
"A1",2019-03-19,5.28944444444444,"Ambient"
"A1",2019-03-20,9.02677535869565,"Ambient"
"A1",2019-03-21,10.2340506198357,"Ambient"
"A1",2019-03-22,10.9060516641011,"Ambient"
"A1",2019-03-23,13.4503284890511,"Ambient"
"A1",2019-03-24,12.9145833825758,"Ambient"
"A1",2019-03-25,11.5409473754386,"Ambient"
"A1",2019-03-26,11.3423829830285,"Ambient"
"A1",2019-03-27,11.1108144892737,"Ambient"
"A1",2019-03-28,10.8998181817315,"Ambient"
"A1",2019-03-29,10.7235074776119,"Ambient"
"A1",2019-03-30,11.6701140380228,"Ambient"
"A1",2019-03-31,13.8666666458333,"Ambient"
"A1",2019-04-01,14.6872727272727,"Ambient"
"A1",2019-04-02,9.26993055555556,"Ambient"
"A1",2019-04-03,6.51777777777778,"Ambient"
"A1",2019-04-04,9.40932587630934,"Ambient"
"A1",2019-04-05,9.44548612847222,"Ambient"
"A1",2019-04-06,7.53190972569444,"Ambient"
"A1",2019-04-07,6.97781818184961,"Ambient"
"A1",2019-04-08,10.0020070492958,"Ambient"
"A1",2019-04-09,9.99468751736111,"Ambient"
"A1",2019-04-10,7.94909723958333,"Ambient"
"A1",2019-04-11,7.50461805555556,"Ambient"
"A1",2019-04-12,11.998464275,"Ambient"
"A1",2019-04-13,9.8459315473982,"Ambient"
"A1",2019-04-14,10.6737847361111,"Ambient"
"A1",2019-04-15,14.7850694375,"Ambient"
"A1",2019-04-16,13.5769791736111,"Ambient"
"A1",2019-04-17,14.9069791527778,"Ambient"
"A1",2019-04-18,14.1503819236111,"Ambient"
"A1",2019-04-19,16.5532830415094,"Ambient"
"A1",2019-04-20,15.0307954242424,"Ambient"
"A1",2019-04-21,10.7138194513889,"Ambient"
"A1",2019-04-22,13.8647330925267,"Ambient"
"A1",2019-04-23,15.1434375034722,"Ambient"
"A1",2019-04-24,15.1881184912892,"Ambient"
"A1",2019-04-25,12.8999295809859,"Ambient"
"A1",2019-04-26,10.6120833263889,"Ambient"
"A1",2019-04-27,10.2435763854167,"Ambient"
"A1",2019-04-28,12.3536531070111,"Ambient"
"A1",2019-04-29,15.0683271784387,"Ambient"
"A1",2019-04-30,15.0505813914729,"Ambient"
"A1",2019-05-01,15.2715447276423,"Ambient"
"A1",2019-05-02,13.2738541701389,"Ambient"
"A1",2019-05-03,9.26635416666667,"Ambient"
"A1",2019-05-04,9.67437500347222,"Ambient"
"A1",2019-05-05,9.96220970003186,"Ambient"
"A1",2019-05-06,12.0733760475721,"Ambient"
"A1",2019-05-07,14.7718992131783,"Ambient"
"A1",2019-05-08,15.6502777534722,"Ambient"
"A1",2019-05-09,15.4815277534722,"Ambient"
"A1",2019-05-10,17.0075694513889,"Ambient"
"A1",2019-05-11,13.0675694375,"Ambient"
"A1",2019-05-12,13.361240879562,"Ambient"
"A1",2019-05-13,12.1378409318182,"Ambient"
"A1",2019-05-14,15.1620833645833,"Ambient"
"A1",2019-05-15,16.4311805451389,"Ambient"
"A1",2019-05-16,16.9473611701389,"Ambient"
"A1",2019-05-17,10.8871180555556,"Ambient"
"A1",2019-05-18,9.23725694791667,"Ambient"
"A1",2019-05-19,10.5477430486111,"Ambient"
"A1",2019-05-20,12.1867361180556,"Ambient"
"A1",2019-05-21,15.1952083194444,"Ambient"
"A1",2019-05-22,17.8764582847222,"Ambient"
"A1",2019-05-23,18.8336805520833,"Ambient"
"A1",2019-05-24,12.5847569444444,"Ambient"
"A1",2019-05-25,12.5680555555556,"Ambient"
"A1",2019-05-26,13.7566319513889,"Ambient"
"A1",2019-05-27,14.5751042048611,"Ambient"
"A1",2019-05-28,14.5706944583333,"Ambient"
"A1",2019-05-29,13.8485069826389,"Ambient"
"A1",2019-05-30,18.0156944722222,"Ambient"
"A1",2019-05-31,20.2974653055556,"Ambient"
"A1",2019-06-01,23.0308333263889,"Ambient"
"A1",2019-06-02,24.9346527222222,"Ambient"
"A1",2019-06-03,21.0570833645833,"Ambient"
"A1",2019-06-04,22.1782291493056,"Ambient"
"A1",2019-06-05,12.0811111111111,"Ambient"
"A1",2019-06-06,16.8000694513889,"Ambient"
"A1",2019-06-07,15.5342014236111,"Ambient"
"A1",2019-06-08,16.9162846944444,"Ambient"
"A1",2019-06-09,17.910729125,"Ambient"
"A1",2019-06-10,12.6466319340278,"Ambient"
"A1",2019-06-11,10.6977083368056,"Ambient"
"A1",2019-06-12,13.9202787700348,"Ambient"
"A1",2019-06-13,18.7678819270833,"Ambient"
"A1",2019-06-14,16.3669791597222,"Ambient"
"A1",2019-06-15,13.92454859375,"Ambient"
"A1",2019-06-16,18.8984721805556,"Ambient"
"A1",2019-06-17,22.8452431701389,"Ambient"
"A1",2019-06-18,25.2511458229167,"Ambient"
"A1",2019-06-19,23.317048625,"Ambient"
"A1",2019-06-20,17.19753471875,"Ambient"
"A1",2019-06-21,15.1741319479167,"Ambient"
"A1",2019-06-22,20.4514930868056,"Ambient"
"A1",2019-06-23,25.2512195121951,"Ambient"
"A1",2019-06-24,23.5278124479167,"Ambient"
"A1",2019-06-25,23.6467013923611,"Ambient"
"A1",2019-06-26,25.9048536150628,"Ambient"
"A1",2019-06-27,26.5099999954128,"Ambient"
"A1",2019-06-28,26.4567708125,"Ambient"
"A1",2019-06-29,25.0596172009569,"Ambient"
"A1",2019-06-30,24.9691319479167,"Ambient"
"A1",2019-07-01,21.3494791458333,"Ambient"
"A1",2019-07-02,19.0509721493056,"Ambient"
"A1",2019-07-03,20.9598264375,"Ambient"
"A1",2019-07-04,23.1727777986111,"Ambient"
"A1",2019-07-05,25.999930625,"Ambient"
"A1",2019-07-06,26.8857639131944,"Ambient"
"A1",2019-07-07,27.0338194236111,"Ambient"
"A1",2019-07-08,26.3821527881944,"Ambient"
"A1",2019-07-09,23.2382292673611,"Ambient"
"A1",2019-07-10,22.9695139201389,"Ambient"
"A1",2019-07-11,24.8094791840278,"Ambient"
"A1",2019-07-12,20.8517013993056,"Ambient"
"A1",2019-07-13,16.6817361180556,"Ambient"
"A1",2019-07-14,15.5606250104167,"Ambient"
"A1",2019-07-15,15.3576041631944,"Ambient"
"A1",2019-07-16,15.6923958472222,"Ambient"
"A1",2019-07-17,15.4145138541667,"Ambient"
"A1",2019-07-18,14.3307638888889,"Ambient"
"A1",2019-07-19,15.6115625,"Ambient"
"A1",2019-07-20,15.8430208611111,"Ambient"
"A1",2019-07-21,15.7186111319444,"Ambient"
"A1",2019-07-22,17.3645139340278,"Ambient"
"A1",2019-07-23,19.2392708472222,"Ambient"
"A1",2019-07-24,19.7005902569444,"Ambient"
"A1",2019-07-25,19.4622916701389,"Ambient"
"A1",2019-07-26,16.1817708472222,"Ambient"
"A1",2019-07-27,13.7644097222222,"Ambient"
"A1",2019-07-28,14.2958333333333,"Ambient"
"A1",2019-07-29,15.6430208194444,"Ambient"
"A1",2019-07-30,14.6629166666667,"Ambient"
"A1",2019-07-31,14.4375,"Ambient"
"A1",2019-08-01,14.7962499930556,"Ambient"
"A1",2019-08-02,15.4635069895833,"Ambient"
"A1",2019-08-03,16.2143749930556,"Ambient"
"A1",2019-08-04,16.7764582916667,"Ambient"
"A1",2019-08-05,17.3687441767442,"Ambient"
"A1",2019-08-06,20.9373610486111,"Ambient"
"A1",2019-08-07,23.35211796875,"Ambient"
"A1",2019-08-08,24.6179860763889,"Ambient"
"A1",2019-08-09,21.1707638715278,"Ambient"
"A1",2019-08-10,16.5275694340278,"Ambient"
"A1",2019-08-11,13.8384722222222,"Ambient"
"A1",2019-08-12,13.7816666666667,"Ambient"
"A1",2019-08-13,13.9657291666667,"Ambient"
"A1",2019-08-14,14.5723958263889,"Ambient"
"A1",2019-08-15,14.0465277777778,"Ambient"
"A1",2019-08-16,15.2803124791667,"Ambient"
"A1",2019-08-17,16.0932292083333,"Ambient"
"A1",2019-08-18,16.2780902881944,"Ambient"
"A1",2019-08-19,17.1387151006944,"Ambient"
"A1",2019-08-20,17.4582986319444,"Ambient"
"A1",2019-08-21,18.153611125,"Ambient"
"A1",2019-08-22,19.7872569652778,"Ambient"
"A1",2019-08-23,20.6384015501859,"Ambient"
"A1",2019-08-24,22.3274652777778,"Ambient"
"A1",2019-08-25,23.1700347152778,"Ambient"
"A1",2019-08-26,21.6955555173611,"Ambient"
"A1",2019-08-27,16.1242160696864,"Ambient"
"A1",2019-08-28,14.9277430416667,"Ambient"
"A1",2019-08-29,15.4006249826389,"Ambient"
"A1",2019-08-30,15.5649305833333,"Ambient"
"A1",2019-08-31,15.3859375555556,"Ambient"
"A1",2019-09-01,14.0776388888889,"Ambient"
"A1",2019-09-02,13.6816319444444,"Ambient"
"A1",2019-09-03,13.8775347222222,"Ambient"
"A1",2019-09-04,14.2088194444444,"Ambient"
"A1",2019-09-05,14.1503125,"Ambient"
"A1",2019-09-06,13.8715972222222,"Ambient"
"A1",2019-09-07,13.791875,"Ambient"
"A1",2019-09-08,13.8335069444444,"Ambient"
"A1",2019-09-09,13.7512847222222,"Ambient"
"A1",2019-09-10,13.4928125,"Ambient"
"A1",2019-09-11,13.3407638888889,"Ambient"
"A1",2019-09-12,13.9597569444444,"Ambient"
"A1",2019-09-13,14.1349305555556,"Ambient"
"A1",2019-09-14,14.5117708576389,"Ambient"
"A1",2019-09-15,14.4530208333333,"Ambient"
"A1",2019-09-16,14.7249652673611,"Ambient"
"A1",2019-09-17,14.6937153055556,"Ambient"
"A1",2019-09-18,14.1120833333333,"Ambient"
"A1",2019-09-19,14.3498263923611,"Ambient"
"A1",2019-09-20,14.8201041805556,"Ambient"
"A1",2019-09-21,14.3726736111111,"Ambient"
"A1",2019-09-22,13.8067708333333,"Ambient"
"A1",2019-09-23,14.0237847222222,"Ambient"
"A1",2019-09-24,14.3493402777778,"Ambient"
"A1",2019-09-25,14.3624305555556,"Ambient"
"A1",2019-09-26,14.6072222222222,"Ambient"
"A1",2019-09-27,14.4020486111111,"Ambient"
"A1",2019-09-28,14.5061458333333,"Ambient"
"A1",2019-09-29,14.5770138784722,"Ambient"
"A1",2019-09-30,15.0375347604167,"Ambient"
"A1",2019-10-01,15.6114583229167,"Ambient"
"A1",2019-10-02,16.07694446875,"Ambient"
"A1",2019-10-03,15.4805208229167,"Ambient"
"A1",2019-10-04,14.1435416666667,"Ambient"
"A1",2019-10-05,14.9568749826389,"Ambient"
"A1",2019-10-06,14.8568402777778,"Ambient"
"A1",2019-10-07,13.9957291666667,"Ambient"
"A1",2019-10-08,14.8899305520833,"Ambient"
"A1",2019-10-09,14.5658680555556,"Ambient"
"A1",2019-10-10,14.3841666736111,"Ambient"
"A1",2019-10-11,13.7970486111111,"Ambient"
"A1",2019-10-12,14.5011805555556,"Ambient"
"A1",2019-10-13,15.116875,"Ambient"
"A1",2019-10-14,14.6213541666667,"Ambient"
"A1",2019-10-15,14.2831944444444,"Ambient"
"A1",2019-10-16,12.638125,"Ambient"
"A1",2019-10-17,13.0337152777778,"Ambient"
"A1",2019-10-18,13.1060763888889,"Ambient"
"A1",2019-10-19,13.6711458333333,"Ambient"
"A1",2019-10-20,13.6525,"Ambient"
"A1",2019-10-21,12.9198611111111,"Ambient"
"A1",2019-10-22,11.8432986111111,"Ambient"
"A1",2019-10-23,11.8734722222222,"Ambient"
"A1",2019-10-24,12.4987847222222,"Ambient"
"A1",2019-10-25,12.4270138888889,"Ambient"
"A1",2019-10-26,12.471875,"Ambient"
"A1",2019-10-27,12.8154513888889,"Ambient"
"A1",2019-10-28,13.2388888888889,"Ambient"
"A1",2019-10-29,13.6226388888889,"Ambient"
"A1",2019-10-30,15.2635068368056,"Ambient"
"A1",2019-10-31,15.5034722048611,"Ambient"
"A1",2019-11-01,13.2007638888889,"Ambient"
"A1",2019-11-02,13.0114236111111,"Ambient"
"A1",2019-11-03,11.9832291666667,"Ambient"
"A1",2019-11-04,11.1008333333333,"Ambient"
"A1",2019-11-05,10.7915277777778,"Ambient"
"A1",2019-11-06,9.25923611111111,"Ambient"
"A1",2019-11-07,7.68569444444444,"Ambient"
"A1",2019-11-08,5.923125,"Ambient"
"A1",2019-11-09,6.46888888888889,"Ambient"
"A1",2019-11-10,6.91475694444444,"Ambient"
"A1",2019-11-11,5.74861111111111,"Ambient"
"A1",2019-11-12,6.36465277777778,"Ambient"
"A1",2019-11-13,6.75576388888889,"Ambient"
"A1",2019-11-14,5.16923611111111,"Ambient"
"A1",2019-11-15,3.88145833333333,"Ambient"
"A1",2019-11-16,3.71649305555556,"Ambient"
"A1",2019-11-17,4.47263888888889,"Ambient"
"A1",2019-11-18,5.07548611111111,"Ambient"
"A1",2019-11-19,4.38138888888889,"Ambient"
"A1",2019-11-20,3.84069444444444,"Ambient"
"A1",2019-11-21,3.88850694444444,"Ambient"
"A1",2019-11-22,4.03371527777778,"Ambient"
"A1",2019-11-23,5.12725694444444,"Ambient"
"A1",2019-11-24,5.74458333333333,"Ambient"
"A1",2019-11-25,6.12854166666667,"Ambient"
"A1",2019-11-26,7.09534722222222,"Ambient"
"A1",2019-11-27,8.88239583333333,"Ambient"
"A1",2019-11-28,9.12635416666667,"Ambient"
"A1",2019-11-29,10.0333680555556,"Ambient"
"A1",2019-11-30,8.96520833333333,"Ambient"
"A1",2019-12-01,8.21927083333333,"Ambient"
"A1",2019-12-02,7.12413194444444,"Ambient"
"A1",2019-12-03,6.61878472222222,"Ambient"
"A1",2019-12-04,5.34319444444444,"Ambient"
"A1",2019-12-05,5.00003472222222,"Ambient"
"A1",2019-12-06,5.62204861111111,"Ambient"
"A1",2019-12-07,5.83701388888889,"Ambient"
"A1",2019-12-08,6.09736111111111,"Ambient"
"A1",2019-12-09,6.78732638888889,"Ambient"
"A1",2019-12-10,6.41815972222222,"Ambient"
"A1",2019-12-11,5.49975694444444,"Ambient"
"A1",2019-12-12,5.49788194444444,"Ambient"
"A1",2019-12-13,8.09677083333333,"Ambient"
"A1",2019-12-14,10.4136805555556,"Ambient"
"A1",2019-12-15,10.283125,"Ambient"
"A1",2019-12-16,9.38565972222222,"Ambient"
"A1",2019-12-17,9.46663194444444,"Ambient"
"A1",2019-12-18,9.82257142857143,"Ambient"
"A1",2019-12-19,8.41409722222222,"Ambient"
"A1",2019-12-20,9.35260416666667,"Ambient"
"A1",2019-12-21,8.71260416666667,"Ambient"
"A1",2019-12-22,8.57114583333333,"Ambient"
"A1",2019-12-23,7.94649305555556,"Ambient"
"A1",2019-12-24,9.17739583333333,"Ambient"
"A1",2019-12-25,9.65680555555556,"Ambient"
"A1",2019-12-26,8.93871527777778,"Ambient"
"A1",2019-12-27,7.7559375,"Ambient"
"A1",2019-12-28,6.33805555555556,"Ambient"
"A1",2019-12-29,5.59642361111111,"Ambient"
"A1",2019-12-30,5.28423611111111,"Ambient"
"A1",2019-12-31,5.12958333333333,"Ambient"
"A1",2020-01-01,5.28944444444444,"Ambient"
"A1",2020-01-02,4.5596875,"Ambient"
"A1",2020-01-03,4.84444444444444,"Ambient"
"A1",2020-01-04,5.55013888888889,"Ambient"
"A1",2020-01-05,5.78972222222222,"Ambient"
"A1",2020-01-06,4.78815972222222,"Ambient"
"A1",2020-01-07,4.43180555555556,"Ambient"
"A1",2020-01-08,5.58836805555556,"Ambient"
"A1",2020-01-09,7.07191176470588,"Ambient"
"A1",2020-01-10,7.43815972222222,"Ambient"
"A1",2020-01-11,6.23489583333333,"Ambient"
