Bac,Ind,Bac_Ind,Mass,Size
A1,1,A1_1,1.4,0.1252
A1,2,A1_2,0.69,0.0953
A1,3,A1_3,0.63,0.0908
A1,4,A1_4,1.09,0.1208
B1,1,B1_1,2.36,0.141
B1,2,B1_2,0.41,0.1064
B1,3,B1_3,1.99,0.15
B1,4,B1_4,0.41,0.0948
B2,1,B2_1,1.1,0.1206
B2,2,B2_2,0.66,0.1067
B2,3,B2_3,0.66,0.0956
B2,4,B2_4,0.53,0.1036
B2,5,B2_5,2.65,0.1675
B2,6,B2_6,0.85,0.1108
B4,1,B4_1,0.71,0.1094
B4,2,B4_2,0.63,0.1015
B4,3,B4_3,0.45,0.1102
B4,4,B4_4,0.4,0.1014
B4,5,B4_5,0.94,0.1155
B4,6,B4_6,0.62,0.1136
B5,1,B5_1,1.22,0.1182
B5,2,B5_2,1.15,0.1063
B5,3,B5_3,1.14,0.1179
B5,4,B5_4,1.39,0.1083
B9,1,B9_1,0.48,0.0844
B9,2,B9_2,0.19,0.0941
B9,3,B9_3,0.26,0.0812
B9,4,B9_4,1.22,0.13
C1,1,C1_1,0.94,0.1083
C1,2,C1_2,2.55,0.1365
C1,3,C1_3,1.14,0.1189
C1,4,C1_4,1.11,0.1115
C3,1,C3_1,2.85,0.1469
C3,2,C3_2,1.14,0.1042
C3,3,C3_3,1.24,0.1061
C3,4,C3_4,1.11,0.1214
C3,5,C3_5,2.38,0.175
C5,1,C5_1,0.96,0.1139
C5,2,C5_2,0.75,0.0773
C5,3,C5_3,0.95,0.1173
C5,4,C5_4,1.97,0.1148
C8,1,C8_1,0.78,0.1077
C8,2,C8_2,1.54,0.139
C8,3,C8_3,0.47,0.0972
C8,4,C8_4,2.46,0.1667
C9,1,C9_1,1.62,0.135
C9,2,C9_2,2.21,0.1444
C9,3,C9_3,0.82,0.1122
C9,4,C9_4,0.57,0.1054
D6,1,D6_1,3.96,0.1514
D6,2,D6_2,0.45,0.0914
D6,3,D6_3,0.56,0.1014
D6,4,D6_4,0.51,0.1074
D7,1,D7_1,1.35,0.136
D7,2,D7_2,1.93,0.1417
D7,3,D7_3,1.66,0.1337
D7,4,D7_4,3.21,0.1511
