Ref,TempExp,TempExpNum,Pop,Tpop,Predpop,Mortality,InWeight,OutWeight,Deg_Weight,MeanPopT_Deg_Weight,Deg_Pourc,Deg_PourcPT,DecompRate,MeanPopT_DecompRate,DecompRateCorr,MeanPopT_DecompRateCorr,DecompRatePerDCorr,MeanPopT_DecompRatePerDCorr,DecompRatePerDPerAzCorr,MeanPopT_DecompRatePerDPerAzCorr,MeanMassPop,MeanSizePop,MeanSlopePopPTDec,MeanSlopePopPTDecPos
T05b_A12,T05,5,A1,Ambiant,Ctrl,1,1.01,0.78,0.23,0.22,"227,722,772,277,228","215,732,452,742,704","227,722,772,277,228","143,980,569,234,586","130,574,182,277,228","118,583,862,742,704",0.768083425,0.697552134,0.076808343,0.069755213,"153,881,981","1,275,761,905",-0.008025552,0.008025552
T05d_A11,T05,5,A1,Ambiant,Ctrl,1,1.02,0.81,0.21,0.22,"205,882,352,941,176","215,732,452,742,704","205,882,352,941,176","143,980,569,234,586","108,733,762,941,176","118,583,862,742,704",0.63961037,0.697552134,0.063961037,0.069755213,"153,881,981","1,275,761,905",-0.008025552,0.008025552
T05d_A13,T05,5,A1,Ambiant,Ctrl,2,1.03,0.81,0.22,0.22,"213,592,233,009,709","215,732,452,742,704","213,592,233,009,709","143,980,569,234,586","116,443,643,009,709","118,583,862,742,704",0.684962606,0.697552134,0.068496261,0.069755213,"153,881,981","1,275,761,905",-0.008025552,0.008025552
T15a_A13,T15,15,A1,Ambiant,Ctrl,1,1.01,0.7,0.31,0.29,"306,930,693,069,307","285,316,766,970,815","306,930,693,069,307","285,316,766,970,815","162,949,993,069,307","141,336,066,970,815",0.958529371,0.831388629,0.095852937,0.083138863,"153,881,981","1,275,761,905",-0.007206653,0.007206653
T15c_A12,T15,15,A1,Ambiant,Ctrl,1,1.02,0.72,0.3,0.29,"294,117,647,058,824",NA,"294,117,647,058,824","285,316,766,970,815","150,136,947,058,824","141,336,066,970,815",0.883158512,0.831388629,0.088315851,0.083138863,"153,881,981","1,275,761,905",-0.007206653,0.007206653
T15d_A11,T15,15,A1,Ambiant,Ctrl,2,1.02,0.76,0.26,0.29,"254,901,960,784,314",NA,"254,901,960,784,314","285,316,766,970,815","110,921,260,784,314","141,336,066,970,815",0.652478005,0.831388629,0.0652478,0.083138863,"153,881,981","1,275,761,905",-0.007206653,0.007206653
T27a_A13,T27,27,A1,Ambiant,Ctrl,0,1.02,0.59,0.43,0.41,"42,156,862,745,098","398,208,959,959,388","42,156,862,745,098","398,208,959,959,388","324,420,037,450,981","301,060,369,959,388","190,835,316,147,636","177,094,335,270,228",0.190835316,0.177094335,"153,881,981","1,275,761,905",-0.007675505,0.007675505
T27b_A11,T27,27,A1,Ambiant,Ctrl,2,1.04,0.65,0.39,0.41,37.5,NA,37.5,"398,208,959,959,388","27,785,141","301,060,369,959,388","163,442,005,882,353","177,094,335,270,228",0.163442006,0.177094335,"153,881,981","1,275,761,905",-0.007675505,0.007675505
T27c_A12,T27,27,A1,Ambiant,Ctrl,1,1.03,0.62,0.41,0.41,"398,058,252,427,184",NA,"398,058,252,427,185","398,208,959,959,388","300,909,662,427,184","301,060,369,959,388","177,005,683,780,697","177,094,335,270,228",0.177005684,0.177094335,"153,881,981","1,275,761,905",-0.007675505,0.007675505
T05b_B11,T05,5,B1,Warm,Ctrl,3,1.02,0.81,0.21,0.196666667,"205,882,352,941,176","189,842,347,195,288","205,882,352,941,176","189,842,347,195,288","108,733,762,941,176","926,937,571,952,884",0.63961037,0.545257395,0.063961037,0.05452574,"1,938,958","140,175",-0.004626657,0.004626657
T05c_B13,T05,5,B1,Warm,Ctrl,2,1.04,0.85,0.19,0.196666667,"182,692,307,692,308","189,842,347,195,288","182,692,307,692,308","189,842,347,195,288","855,437,176,923,077","926,937,571,952,884",0.503198339,0.545257395,0.050319834,0.05452574,"1,938,958","140,175",-0.004626657,0.004626657
T05d_B12,T05,5,B1,Warm,Ctrl,3,1.05,0.86,0.19,0.196666667,"180,952,380,952,381","189,842,347,195,288","180,952,380,952,381","189,842,347,195,288","83,803,790,952,381","926,937,571,952,884",0.492963476,0.545257395,0.049296348,0.05452574,"1,938,958","140,175",-0.004626657,0.004626657
T15a_B11,T15,15,B1,Warm,Ctrl,2,1.02,0.75,0.27,0.266666667,"264,705,882,352,941","261,614,767,987,364","264,705,882,352,941","261,614,767,987,364","120,725,182,352,941","117,634,067,987,364",0.710148131,0.691965106,0.071014813,0.069196511,"1,938,958","140,175",-0.003276716,0.003276716
T15b_B12,T15,15,B1,Warm,Ctrl,0,1.01,0.72,0.29,0.266666667,"287,128,712,871,287",NA,"287,128,712,871,287","261,614,767,987,364","143,148,012,871,287","117,634,067,987,364",0.842047135,0.691965106,0.084204713,0.069196511,"1,938,958","140,175",-0.003276716,0.003276716
T15c_B13,T15,15,B1,Warm,Ctrl,2,1.03,0.79,0.24,0.266666667,"233,009,708,737,864",NA,"233,009,708,737,864","261,614,767,987,364","89,029,008,737,864","117,634,067,987,364",0.523700051,0.691965106,0.052370005,0.069196511,"1,938,958","140,175",-0.003276716,0.003276716
T27a_B13,T27,27,B1,Warm,Ctrl,0,1.07,0.58,0.49,0.483333333,"457,943,925,233,645","453,065,303,003,585","457,943,925,233,645","453,065,303,003,586","360,795,335,233,645","355,916,713,003,586","212,232,550,137,438","20,936,277,235,505",0.21223255,0.209362772,"1,938,958","140,175",-0.007516211,0.007516211
T27b_B11,T27,27,B1,Warm,Ctrl,0,1.07,0.57,0.5,0.483333333,"467,289,719,626,168",NA,"467,289,719,626,168","453,065,303,003,586","370,141,129,626,168","355,916,713,003,586","217,730,076,250,687","20,936,277,235,505",0.217730076,0.209362772,"1,938,958","140,175",-0.007516211,0.007516211
T27d_B12,T27,27,B1,Warm,Ctrl,1,1.06,0.6,0.46,0.483333333,"433,962,264,150,943",NA,"433,962,264,150,944","453,065,303,003,586","336,813,674,150,943","355,916,713,003,586","198,125,690,677,026","20,936,277,235,505",0.198125691,0.209362772,"1,938,958","140,175",-0.007516211,0.007516211
T05a_B23,T05,5,B2,Ambiant,Ctrl,2,1.03,0.82,0.21,0.223333333,"203,883,495,145,631","214,817,086,904,466","203,883,495,145,631","214,817,086,904,466","106,734,905,145,631","117,668,496,904,466",0.627852383,0.692167629,0.062785238,0.069216763,"1,958,014","140,775",-0.007979195,0.007979195
T05c_B22,T05,5,B2,Ambiant,Ctrl,3,1.05,0.86,0.19,0.223333333,"180,952,380,952,381","214,817,086,904,466","180,952,380,952,381","214,817,086,904,466","83,803,790,952,381","117,668,496,904,466",0.492963476,0.692167629,0.049296348,0.069216763,"1,958,014","140,775",-0.007979195,0.007979195
T05d_B21,T05,5,B2,Ambiant,Ctrl,0,1.04,0.77,0.27,0.223333333,"259,615,384,615,385","214,817,086,904,466","259,615,384,615,385","214,817,086,904,466","162,466,794,615,385","117,668,496,904,466",0.955687027,0.692167629,0.095568703,0.069216763,"1,958,014","140,775",-0.007979195,0.007979195
T15b_B23,T15,15,B2,Ambiant,Ctrl,2,1.05,0.79,0.26,0.26,"247,619,047,619,048","252,474,323,062,558","247,619,047,619,048","252,474,323,062,558","103,638,347,619,048","108,493,623,062,558",0.609637339,0.638197783,0.060963734,0.063819778,"1,958,014","140,775",-0.007270558,0.007270558
T15c_B22,T15,15,B2,Ambiant,Ctrl,2,1.02,0.75,0.27,0.26,"264,705,882,352,941",NA,"264,705,882,352,941","252,474,323,062,558","120,725,182,352,941","108,493,623,062,558",0.710148131,0.638197783,0.071014813,0.063819778,"1,958,014","140,775",-0.007270558,0.007270558
T15d_B21,T15,15,B2,Ambiant,Ctrl,2,1.02,0.77,0.25,0.26,"245,098,039,215,686",NA,"245,098,039,215,686","252,474,323,062,558","101,117,339,215,686","108,493,623,062,558",0.594807878,0.638197783,0.059480788,0.063819778,"1,958,014","140,775",-0.007270558,0.007270558
T27b_B21,T27,27,B2,Ambiant,Ctrl,2,1.04,0.65,0.39,0.416666667,37.5,"400,728,155,339,806",37.5,"400,728,155,339,806","27,785,141","303,579,565,339,806","163,442,005,882,353","178,576,214,905,768",0.163442006,0.170794947,"1,958,014","140,775",-0.008889823,0.008889823
T27c_B22,T27,27,B2,Ambiant,Ctrl,1,1.05,0.63,0.42,0.416666667,40,NA,40,"400,728,155,339,806","30,285,141","303,579,565,339,806","178,147,888,235,294","178,576,214,905,768",0.178147888,0.170794947,"1,958,014","140,775",-0.008889823,0.008889823
T27d_B23,T27,27,B2,Ambiant,Ctrl,1,1.03,0.59,0.44,0.416666667,"427,184,466,019,417",NA,"427,184,466,019,418","400,728,155,339,806","330,035,876,019,417","303,579,565,339,806","194,138,750,599,657","178,576,214,905,768",0.194138751,0.170794947,"1,958,014","140,775",-0.008889823,0.008889823
T05a_B42,T05,5,B4,Ambiant,Pred,2,1.01,0.83,0.18,0.203333333,"178,217,821,782,178","197,895,261,224,236","178,217,821,782,178","197,895,261,224,236","810,692,317,821,783","100,746,671,224,236",0.476877834,0.592627478,0.047687783,0.059262748,"2,149,765","1,468,125",-0.003852235,0.003852235
T05b_B43,T05,5,B4,Ambiant,Pred,2,1.06,0.84,0.22,0.203333333,"207,547,169,811,321","197,895,261,224,236","207,547,169,811,321","197,895,261,224,236","110,398,579,811,321","100,746,671,224,236",0.649403411,0.592627478,0.064940341,0.059262748,"2,149,765","1,468,125",-0.003852235,0.003852235
T05d_B41,T05,5,B4,Ambiant,Pred,2,1.01,0.8,0.21,0.203333333,"207,920,792,079,208","197,895,261,224,236","207,920,792,079,208","197,895,261,224,236","110,772,202,079,208","100,746,671,224,236",0.651601189,0.592627478,0.065160119,0.059262748,"2,149,765","1,468,125",-0.003852235,0.003852235
T15a_B42,T15,15,B4,Ambiant,Pred,1,1,0.73,0.27,0.273333333,27,"268,757,298,806,804",27,"268,757,298,806,804","1,260,193","124,776,598,806,804",0.74129,0.733979993,0.074129,0.073397999,"2,149,765","1,468,125",-0.004013482,0.004013482
T15b_B43,T15,15,B4,Ambiant,Pred,0,1.04,0.75,0.29,0.273333333,"278,846,153,846,154",NA,"278,846,153,846,154","268,757,298,806,804","134,865,453,846,154","124,776,598,806,804",0.793326199,0.733979993,0.07933262,0.073397999,"2,149,765","1,468,125",-0.004013482,0.004013482
T15c_B41,T15,15,B4,Ambiant,Pred,2,1.01,0.75,0.26,0.273333333,"257,425,742,574,257",NA,"257,425,742,574,257","268,757,298,806,804","113,445,042,574,257","124,776,598,806,804",0.66732378,0.733979993,0.066732378,0.073397999,"2,149,765","1,468,125",-0.004013482,0.004013482
T27b_B43,T27,27,B4,Ambiant,Pred,2,1.05,0.66,0.39,0.366666667,"371,428,571,428,571","349,015,135,807,589","371,428,571,428,571","349,015,135,807,589","274,279,981,428,571","251,866,545,807,589","161,341,165,546,219","148,156,791,651,523",0.161341166,0.148156792,"2,149,765","1,468,125",-0.008230886,0.008230886
T27c_B42,T27,27,B4,Ambiant,Pred,2,1.04,0.72,0.32,0.366666667,"307,692,307,692,308",NA,"307,692,307,692,308","349,015,135,807,589","210,543,717,692,308","251,866,545,807,589","123,849,245,701,358","148,156,791,651,523",0.123849246,0.148156792,"2,149,765","1,468,125",-0.008230886,0.008230886
T27d_B41,T27,27,B4,Ambiant,Pred,1,1.06,0.67,0.39,0.366666667,"367,924,528,301,887",NA,"367,924,528,301,887","349,015,135,807,589","270,775,938,301,887","251,866,545,807,589","159,279,963,706,992","148,156,791,651,523",0.159279964,0.148156792,"2,149,765","1,468,125",-0.008230886,0.008230886
T05a_B53,T05,5,B5,Warm,Pred,2,1.02,0.84,0.18,0.213333333,"176,470,588,235,294","207,236,227,824,463","176,470,588,235,294","207,236,227,824,463","793,219,982,352,942","110,087,637,824,463",0.46659999,0.64757434,0.046659999,0.064757434,"1,882,738,927","138,404,878",-0.006107721,0.006107721
T05a_B51,T05,5,B5,Warm,Pred,3,1,0.85,0.15,0.213333333,15,"207,236,227,824,463",15,"207,236,227,824,463","5,285,141","110,087,637,824,463",0.310890647,0.64757434,0.031089065,0.064757434,"1,882,738,927","138,404,878",-0.006107721,0.006107721
T05b_B52,T05,5,B5,Warm,Pred,0,1.05,0.74,0.31,0.213333333,"295,238,095,238,095","207,236,227,824,463","295,238,095,238,095","207,236,227,824,463","198,089,505,238,095","110,087,637,824,463","11,652,323,837,535",0.64757434,0.116523238,0.064757434,"1,882,738,927","138,404,878",-0.006107721,0.006107721
T15b_B53,T15,15,B5,Warm,Pred,0,1.04,0.72,0.32,0.306666667,"307,692,307,692,308","293,040,293,040,293","307,692,307,692,308","293,040,293,040,293","163,711,607,692,308","149,059,593,040,293",0.963009457,0.876821136,0.096300946,0.087682114,"1,882,738,927","138,404,878",-0.004082042,0.004082042
T15c_B52,T15,15,B5,Warm,Pred,1,1.05,0.76,0.29,0.306666667,"276,190,476,190,476",NA,"276,190,476,190,476","293,040,293,040,293","132,209,776,190,476","149,059,593,040,293",0.777704566,0.876821136,0.077770457,0.087682114,"1,882,738,927","138,404,878",-0.004082042,0.004082042
T15d_B51,T15,15,B5,Warm,Pred,1,1.05,0.74,0.31,0.306666667,"295,238,095,238,095",NA,"295,238,095,238,095","293,040,293,040,293","151,257,395,238,095","149,059,593,040,293",0.889749384,0.876821136,0.088974938,0.087682114,"1,882,738,927","138,404,878",-0.004082042,0.004082042
T27a_B53,T27,27,B5,Warm,Pred,1,1.02,0.63,0.39,0.383333333,"382,352,941,176,471","376,949,459,651,848","382,352,941,176,471","376,949,459,651,848","285,204,351,176,471","279,800,869,651,848","167,767,265,397,924","164,588,746,854,028",0.167767265,0.164588747,"1,882,738,927","138,404,878",-0.013776614,0.013776614
T27b_B52,T27,27,B5,Warm,Pred,1,1.01,0.66,0.35,0.383333333,"346,534,653,465,347",NA,"346,534,653,465,347","376,949,459,651,848","249,386,063,465,347","279,800,869,651,848","14,669,768,439,138","164,588,746,854,028",0.146697684,0.164588747,"1,882,738,927","138,404,878",-0.013776614,0.013776614
T27d_B51,T27,27,B5,Warm,Pred,0,1.02,0.61,0.41,0.383333333,"401,960,784,313,726",NA,"401,960,784,313,726","376,949,459,651,848","304,812,194,313,725","279,800,869,651,848","17,930,129,077,278","164,588,746,854,028",0.179301291,0.164588747,"1,882,738,927","138,404,878",-0.013776614,0.013776614
T05a_B73,T05,5,B7,Warm,Pred,2,1.04,0.84,0.2,0.21,"192,307,692,307,692","203,990,881,889,225","192,307,692,307,692","203,990,881,889,226","951,591,023,076,924","106,842,291,889,226",0.559759425,0.62848407,0.055975943,0.062848407,"19,706,386","1,411,725",-0.004667149,0.004667149
T05b_B72,T05,5,B7,Warm,Pred,2,1.03,0.83,0.2,0.21,"194,174,757,281,553","203,990,881,889,225","194,174,757,281,553","203,990,881,889,226","970,261,672,815,535","106,842,291,889,226",0.57074216,0.62848407,0.057074216,0.062848407,"19,706,386","1,411,725",-0.004667149,0.004667149
T05d_B71,T05,5,B7,Warm,Pred,1,1.02,0.79,0.23,0.21,"225,490,196,078,431","203,990,881,889,225","225,490,196,078,431","203,990,881,889,226","128,341,606,078,431","106,842,291,889,226",0.754950624,0.62848407,0.075495062,0.062848407,"19,706,386","1,411,725",-0.004667149,0.004667149
T15a_B73,T15,15,B7,Warm,Pred,2,1.03,0.8,0.23,0.266666667,"223,300,970,873,786","253,678,939,976,796","223,300,970,873,786","253,678,939,976,797","793,202,708,737,864","109,698,239,976,797",0.466589829,0.645283765,0.046658983,0.064528376,"19,706,386","1,411,725",-0.006316899,0.006316899
T15c_B72,T15,15,B7,Warm,Pred,1,1.06,0.77,0.29,0.266666667,"273,584,905,660,377",NA,"273,584,905,660,377","253,678,939,976,797","129,604,205,660,377","109,698,239,976,797",0.76237768,0.645283765,0.076237768,0.064528376,"19,706,386","1,411,725",-0.006316899,0.006316899
T15d_B71,T15,15,B7,Warm,Pred,1,1.06,0.78,0.28,0.266666667,"264,150,943,396,226",NA,"264,150,943,396,226","253,678,939,976,797","120,170,243,396,226","109,698,239,976,797",0.706883785,0.645283765,0.070688378,0.064528376,"19,706,386","1,411,725",-0.006316899,0.006316899
